NOM,ways_points,geometry,centroid_x,centroid_y,True color,True color 20cm,structure,texture,couleur,surface(ha),typologie,especes_cultivés,Micro_el,Macro_el,ph,Roche_mère,True_color,True_color_20cm
G3149,"284979.4599999979,714990.7600000018;284979.4599999979,714995.7600000018;284984.4599999979,714995.7600000018;284984.4599999979,714990.7600000018;284979.4599999979,714990.7600000018","POLYGON ((284979.4599999979 714990.7600000018, 284979.4599999979 714995.7600000018, 284984.4599999979 714995.7600000018, 284984.4599999979 714990.7600000018, 284979.4599999979 714990.7600000018))",284981.9599999979,714993.2600000018,,,,,,,,,,,,,,
G3150,"284979.4599999979,714995.7600000018;284979.4599999979,715000.7600000018;284984.4599999979,715000.7600000018;284984.4599999979,714995.7600000018;284979.4599999979,714995.7600000018","POLYGON ((284979.4599999979 714995.7600000018, 284979.4599999979 715000.7600000018, 284984.4599999979 715000.7600000018, 284984.4599999979 714995.7600000018, 284979.4599999979 714995.7600000018))",284981.9599999979,714998.2600000018,,,,,,,,,,,,,,
G3151,"284979.4599999979,715000.7600000018;284979.4599999979,715005.7600000018;284984.4599999979,715005.7600000018;284984.4599999979,715000.7600000018;284979.4599999979,715000.7600000018","POLYGON ((284979.4599999979 715000.7600000018, 284979.4599999979 715005.7600000018, 284984.4599999979 715005.7600000018, 284984.4599999979 715000.7600000018, 284979.4599999979 715000.7600000018))",284981.9599999979,715003.2600000018,,,,,,,,,,,,,,
G3152,"284984.4599999979,715005.7600000018;284979.4599999979,715005.7600000018;284979.4599999979,715010.0622155509;284984.4599999979,715010.1562736959;284984.4599999979,715005.7600000018","POLYGON ((284984.4599999979 715005.7600000018, 284979.4599999979 715005.7600000018, 284979.4599999979 715010.0622155509, 284984.4599999979 715010.1562736959, 284984.4599999979 715005.7600000018))",284981.9690109635,715007.934707068,,,,,,,,,,,,,,
G3153,"284984.4599999979,714775.7600000018;284986.94131785096,714775.7600000018;284984.4599999979,714774.2321747234;284984.4599999979,714775.7600000018","POLYGON ((284984.4599999979 714775.7600000018, 284986.94131785096 714775.7600000018, 284984.4599999979 714774.2321747234, 284984.4599999979 714775.7600000018))",284985.2871059489,714775.2507249089,,,,,,,,,,,,,,
G3154,"284984.4599999979,714775.7600000018;284984.4599999979,714780.7600000018;284989.4599999979,714780.7600000018;284989.4599999979,714777.3069806482;284989.28000000084,714777.2000000011;284986.94131785096,714775.7600000018;284984.4599999979,714775.7600000018","POLYGON ((284984.4599999979 714775.7600000018, 284984.4599999979 714780.7600000018, 284989.4599999979 714780.7600000018, 284989.4599999979 714777.3069806482, 284989.28000000084 714777.2000000011, 284986.94131785096 714775.7600000018, 284984.4599999979 714775.7600000018))",284986.8193313512,714778.4280289881,,,,,,,,,,,,,,
G3155,"284984.4599999979,714780.7600000018;284984.4599999979,714785.7600000018;284989.4599999979,714785.7600000018;284989.4599999979,714780.7600000018;284984.4599999979,714780.7600000018","POLYGON ((284984.4599999979 714780.7600000018, 284984.4599999979 714785.7600000018, 284989.4599999979 714785.7600000018, 284989.4599999979 714780.7600000018, 284984.4599999979 714780.7600000018))",284986.9599999979,714783.2600000018,,,,,,,,,,,,,,
G3156,"284984.4599999979,714785.7600000018;284984.4599999979,714790.7600000018;284989.4599999979,714790.7600000018;284989.4599999979,714785.7600000018;284984.4599999979,714785.7600000018","POLYGON ((284984.4599999979 714785.7600000018, 284984.4599999979 714790.7600000018, 284989.4599999979 714790.7600000018, 284989.4599999979 714785.7600000018, 284984.4599999979 714785.7600000018))",284986.9599999979,714788.2600000018,,,,,,,,,,,,,,
G3157,"284984.4599999979,714790.7600000018;284984.4599999979,714795.7600000018;284989.4599999979,714795.7600000018;284989.4599999979,714790.7600000018;284984.4599999979,714790.7600000018","POLYGON ((284984.4599999979 714790.7600000018, 284984.4599999979 714795.7600000018, 284989.4599999979 714795.7600000018, 284989.4599999979 714790.7600000018, 284984.4599999979 714790.7600000018))",284986.9599999979,714793.2600000018,,,,,,,,,,,,,,
G3158,"284984.4599999979,714795.7600000018;284984.4599999979,714800.7600000018;284989.4599999979,714800.7600000018;284989.4599999979,714795.7600000018;284984.4599999979,714795.7600000018","POLYGON ((284984.4599999979 714795.7600000018, 284984.4599999979 714800.7600000018, 284989.4599999979 714800.7600000018, 284989.4599999979 714795.7600000018, 284984.4599999979 714795.7600000018))",284986.9599999979,714798.2600000018,,,,,,,,,,,,,,
G3159,"284984.4599999979,714800.7600000018;284984.4599999979,714805.7600000018;284989.4599999979,714805.7600000018;284989.4599999979,714800.7600000018;284984.4599999979,714800.7600000018","POLYGON ((284984.4599999979 714800.7600000018, 284984.4599999979 714805.7600000018, 284989.4599999979 714805.7600000018, 284989.4599999979 714800.7600000018, 284984.4599999979 714800.7600000018))",284986.9599999979,714803.2600000018,,,,,,,,,,,,,,
G3160,"284984.4599999979,714805.7600000018;284984.4599999979,714810.7600000018;284989.4599999979,714810.7600000018;284989.4599999979,714805.7600000018;284984.4599999979,714805.7600000018","POLYGON ((284984.4599999979 714805.7600000018, 284984.4599999979 714810.7600000018, 284989.4599999979 714810.7600000018, 284989.4599999979 714805.7600000018, 284984.4599999979 714805.7600000018))",284986.9599999979,714808.2600000018,,,,,,,,,,,,,,
G3161,"284984.4599999979,714810.7600000018;284984.4599999979,714815.7600000018;284989.4599999979,714815.7600000018;284989.4599999979,714810.7600000018;284984.4599999979,714810.7600000018","POLYGON ((284984.4599999979 714810.7600000018, 284984.4599999979 714815.7600000018, 284989.4599999979 714815.7600000018, 284989.4599999979 714810.7600000018, 284984.4599999979 714810.7600000018))",284986.9599999979,714813.2600000018,,,,,,,,,,,,,,
G3162,"284984.4599999979,714815.7600000018;284984.4599999979,714820.7600000018;284989.4599999979,714820.7600000018;284989.4599999979,714815.7600000018;284984.4599999979,714815.7600000018","POLYGON ((284984.4599999979 714815.7600000018, 284984.4599999979 714820.7600000018, 284989.4599999979 714820.7600000018, 284989.4599999979 714815.7600000018, 284984.4599999979 714815.7600000018))",284986.9599999979,714818.2600000018,,,,,,,,,,,,,,
G3163,"284984.4599999979,714820.7600000018;284984.4599999979,714825.7600000018;284989.4599999979,714825.7600000018;284989.4599999979,714820.7600000018;284984.4599999979,714820.7600000018","POLYGON ((284984.4599999979 714820.7600000018, 284984.4599999979 714825.7600000018, 284989.4599999979 714825.7600000018, 284989.4599999979 714820.7600000018, 284984.4599999979 714820.7600000018))",284986.9599999979,714823.2600000018,,,,,,,,,,,,,,
G3164,"284984.4599999979,714825.7600000018;284984.4599999979,714830.7600000018;284989.4599999979,714830.7600000018;284989.4599999979,714825.7600000018;284984.4599999979,714825.7600000018","POLYGON ((284984.4599999979 714825.7600000018, 284984.4599999979 714830.7600000018, 284989.4599999979 714830.7600000018, 284989.4599999979 714825.7600000018, 284984.4599999979 714825.7600000018))",284986.9599999979,714828.2600000018,,,,,,,,,,,,,,
G3165,"284984.4599999979,714830.7600000018;284984.4599999979,714835.7600000018;284989.4599999979,714835.7600000018;284989.4599999979,714830.7600000018;284984.4599999979,714830.7600000018","POLYGON ((284984.4599999979 714830.7600000018, 284984.4599999979 714835.7600000018, 284989.4599999979 714835.7600000018, 284989.4599999979 714830.7600000018, 284984.4599999979 714830.7600000018))",284986.9599999979,714833.2600000018,,,,,,,,,,,,,,
G3166,"284984.4599999979,714835.7600000018;284984.4599999979,714840.7600000018;284989.4599999979,714840.7600000018;284989.4599999979,714835.7600000018;284984.4599999979,714835.7600000018","POLYGON ((284984.4599999979 714835.7600000018, 284984.4599999979 714840.7600000018, 284989.4599999979 714840.7600000018, 284989.4599999979 714835.7600000018, 284984.4599999979 714835.7600000018))",284986.9599999979,714838.2600000018,,,,,,,,,,,,,,
G3167,"284984.4599999979,714840.7600000018;284984.4599999979,714845.7600000018;284989.4599999979,714845.7600000018;284989.4599999979,714840.7600000018;284984.4599999979,714840.7600000018","POLYGON ((284984.4599999979 714840.7600000018, 284984.4599999979 714845.7600000018, 284989.4599999979 714845.7600000018, 284989.4599999979 714840.7600000018, 284984.4599999979 714840.7600000018))",284986.9599999979,714843.2600000018,,,,,,,,,,,,,,
